Hobbies,Skills,Interest,University,Dedication_Hours_Per_Week,Sports/Clubs,Choice_of_Selection,Course_Fee,Learning_Environment,Assessment,Desired_Industries,Predicted Degree
Art,Leadership,Technology,ICBT Campus,Under 10 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Art,Arts
Travel,Leadership,Science,ICBT Campus,Over 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,AI & Data Science,Arts
Music,Leadership,Arts,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Exams,AI & Data Science,Arts
Travel,Leadership,Engineering,ICBT Campus,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Cyber Security,Arts
Travel,Leadership,Arts,ICBT Campus,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Exams,Cyber Security,Arts
Sports,Programming,Arts,Esoft Metro Campus,Over 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Exams,Law,Science
Music,Leadership,Science,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Software Engineering,Arts
Music,Programming,Science,Esoft Metro Campus,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Computer Science,Arts
Music,Leadership,Science,Esoft Metro Campus,20 - 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Analytics,Arts
Travel,Problem Solving,Business,Informatics Institute of Technology,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,AI & Data Science,Arts
Art,Communication,Technology,Esoft Metro Campus,10 - 20 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Computer Science,Arts
Music,Programming,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Computer Science,Arts
Travel,Leadership,Technology,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,Healthcare,Arts
Sports,Problem Solving,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Online Lectures,Reports,Software Engineering,Science
Art,Communication,Arts,Sri Lanka Institute of Information Technology,Over 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Business Information Systems,Arts
Sports,Programming,Arts,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Exams,Business Information Systems,Science
Art,Communication,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Exams,AI & Data Science,Arts
Travel,Problem Solving,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,Network Security,Arts
Reading,Programming,Business,Esoft Metro Campus,20 - 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Software Engineering,Arts
Art,Communication,Business,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Large Lectures,Presentations,Software Engineering,Arts
Sports,Leadership,Arts,ICBT Campus,Over 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Business Management,Science
Travel,Programming,Science,Asia Pacific Institute of Information Technology,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Computer Science,Arts
Art,Communication,Technology,ICBT Campus,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Business Management,Arts
